Age Group,Population
Under 5 years,162797
5 to 14 years,303384
15 to 20 years,202635
21 to 29 years,355912
30 to 49 years,809519
50 to 61 years,350271
62 to 74  years,296773
75 to 85 years and over,155184
Total ,2693959
